STIMULUS NAME,SIMILAR IN COLOR,SIMILAR IN SHAPE,
Hat,"Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange",,
Ball,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5 Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Yellow-Fuscia Leaves,"Hat, Butterfly, Flame, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange, Crystal Spiral, Staircase, PinkShell, PinkBlossoms, Spiral Inception, Blue Flower",Autumnal Leaves,
Purple Sphere,"Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Flower, Spherical","Ball, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Rainbow1,"Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow2, Rainbow3, Rainbow4, Rainbow5",
Rainbow2,"Rainbow1, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow3, Rainbow4, Rainbow5",
Rainbow3,"Rainbow1, Rainbow2, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow4, Rainbow5",
Rainbow4,"Rainbow1, Rainbow2, Rainbow 3, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow3, Rainbow5",
Rainbow5,"Rainbow1, Rainbow2, Rainbow 3, Rainbow4, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow3, Rainbow4",
Jellyfish,"Ammonoid, BlueFlame, Flower, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice",Blue Flame,
Puff,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Ball, Purple Sphere, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Three Shells,"Staircase, Shrubs, Watermelon Flower","Ammonoid, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum",
Shards,"RedBlossoms, AutumnalLeaves, Chrysanthemum, Watermelon Flower, Star","Hexagon Shards, Ice",
Butterfly,"Hat, Yellow-Fuscia Leaves, Flame, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange",,
Flame,"Hat, Yellow-Fuscia Leaves, Butterfly, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange",,
Geometric Flower,"Ammonoid, BlueFlame, Flower, Jellyfish, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
Blade,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical","RainbowSplash, Wing",
Watermelon Flower,"RedBlossoms, AutumnalLeaves, Chrysanthemum, Shards, Star, Staircase, Shrubs, Three Shells","Geometric Flower, PinkBlossoms, Shrubs, RedBlossoms, B&W Flower, Purple Flower, Blue Flower, Flower ",
B&W Flower,"Tenticle, Pearls, Hexagon","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, RedBlossoms, Purple Flower, Blue Flower, Flower, Purple Snowflake",
Two Spirals,"Purple Sphere, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Flower, Spherical","Ammonoid, Three Shells, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
Hexagonal,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice","Overlapping Circles, Hexagon, Hexagon Shards",
Hexagon Shards,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Overlapping Circles, Hexagon, Hexagonal, Shards, Ice",
Kaleidoscope,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical","Ball, Purple Sphere, Puff, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Spiral Inception,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Crystal Spiral, Staircase, PinkShell, PinkBlossoms, Yellow-Fuscia Leaves, Blue Flower","Ammonoid, Three Shells, Two Spirals, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
Rainbow Synth,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall",,
Purple Snowflake,"Purple Sphere, Two Spirals, Purple Spiral, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Flower","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, RedBlossoms, B&W Flower, Purple Flower, Blue Flower, Flower, Purple Snowflake",
Purple Flower,"Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Holey Sphere, Marbled Purple, RebelSymbol, Flower","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, RedBlossoms, B&W Flower, Purple Snowflake, Blue Flower, Flower, Purple Snowflake",
Overlapping Circles,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Hexagon, Hexagonal, Hexagon Shards",
Orange,"Hat, Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Spiky Spiral, Chrysanthemum, Sun",,
Lace Doily,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical",,
Holey Sphere 2,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Blue Flower, Feather, Ice, Spherical","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Blue Flower,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Feather, Ice, Crystal Spiral, Staircase, PinkShell, PinkBlossoms, Yellow-Fuscia Leaves, Spiral Inception","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, RedBlossoms, B&W Flower, Purple Flower, Flower, Purple Snowflake",
Holey Sphere,"Hat, Yellow-Fuscia Leaves, Butterfly, Flame, Sun, Spiky Spiral, Chrysanthemum, Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Marbled Purple, RebelSymbol, Flower","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Distorted Sphere,,"Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Crystal Spiral,"Staircase, PinkShell, PinkBlossoms, Yellow-Fuscia Leaves, Spiral Inception, Blue Flower","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
Staircase,"Shrubs, Three Shells, Watermelon Flower","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Spiky Spiral, Chrysanthemum, Pearls",
PinkShell,"Crystal Spiral, Staircase, PinkBlossoms, Yellow-Fuscia Leaves, Spiral Inception, Blue Flower","Ammonoid, Three Shells, Two Spirals, Spiral Inception, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
PinkBlossoms,"Crystal Spiral, Staircase, PinkShell, Yellow-Fuscia Leaves, Spiral Inception, Blue Flower","Geometric Flower, Watermelon Flower, Shrubs, RedBlossoms, B&W Flower, Purple Flower, Blue Flower, Flower, Purple Snowflake",
Marbled Purple,"Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, RebelSymbol, Flower","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Spherical,"Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Flower","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Sun, RebelSymbol, HyperSphere, ChainBall",
Pearls,"Tenticle, B&W Flower, Hexagon","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Chrysanthemum, Spiky Spiral",
Hexagon,"Tenticle, B&W Flower, Pearls","Overlapping Circles, Hexagonal, Hexagon Shards",
Star,"RedBlossoms, AutumnalLeaves, Chrysanthemum, Shards, Watermelon Flower, Star",,
Shrubs,"Staircase, Three Shells, Watermelon Flower","Geometric Flower, Watermelon Flower, PinkBlossoms, RedBlossoms, B&W Flower, Purple Flower, Blue Flower, Flower, Purple Snowflake",
Wing,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles,  RainbowSplash, Shell, HyperSphere, ChainBall","Blade, RainbowSplash",
RedBlossoms,"AutumnalLeaves, Chrysanthemum, Shards, Watermelon Flower, Star","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, B&W Flower, Purple Flower, Blue Flower, Flower, Purple Snowflake",
AutumnalLeaves,"RedBlossoms, Chrysanthemum, Shards, Watermelon Flower, Star",Yellow-Fuscia Leaves,
Feather,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Ice, Spherical",,
Ice,"Ammonoid, BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Spherical","Shards, Hexagon Shards",
RainbowSplash,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, Shell, HyperSphere, ChainBall","Blade, Wing",
Sun,"Hat, Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Spiky Spiral, Chrysanthemum, Orange","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, RebelSymbol, HyperSphere, ChainBall",
RebelSymbol,"Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, Flower","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, HyperSphere, ChainBall",
Spiky Spiral,"Hat, Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Sun, Chrysanthemum, Orange","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Chrysanthemum, Pearls",
Chrysanthemum,"Hat, Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Sun, Spiky Spiral, RedBlossoms, AutumnalLeaves, Shards, Watermelon Flower, Star, Orange","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Pearls",
Tenticle,"Tenticle, Pearls, Hexagon","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
Shell,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, HyperSphere, ChainBall","Ammonoid, Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum, Pearls",
HyperSphere,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, ChainBall","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, ChainBall",
ChainBall,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere","Ball, Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere",
Ammonoid,"BlueFlame, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical","Three Shells, Two Spirals, Spiral Inception, PinkShell, Tenticle, Shell, Geometric Flower, Crystal Spiral, Staircase, Spiky Spiral, Chrysanthemum",
BlueFlame,"Ammonoid, Flower, Jellyfish, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice, Spherical",Jellyfish,
Flower,"Purple Sphere, Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Spherical","Geometric Flower, Watermelon Flower, PinkBlossoms, Shrubs, RedBlossoms, B&W Flower, Purple Flower, Blue Flower, Purple Snowflake",
